dataset	ID	adj.P.Val	logFC	symbol	abs_logFC	direction
GSE51575	31608	0.00223	6.2864683	LOC284215	6.2864683	Up
GSE51575	48428	0.03859	-3.5971693	DLX4	3.5971693	Down
GSE51575	29019	0.03859	2.7849962	TSHZ2	2.7849962	Up
GSE66229	227174_at	2.72e-11	-1.6	WDR72	1.6	Down
GSE66229	1559258_a_at	1.35e-09	-1.14	CT83	1.14	Down
GSE66229	205892_s_at	0.0141	-1.14	FABP1	1.14	Down
GSE66229	214612_x_at	0.00771	-1.07	MAGEA6	1.07	Down
GSE66229	220639_at	0.000617	-1.06	TM4SF20	1.06	Down
GSE66229	213150_at	3.51e-06	-1.02	HOXA10	1.02	Down
GSE66229	209942_x_at	0.0285	-1.02	MAGEA6///MAGEA3	1.02	Down
GSE66229	203954_x_at	3.87e-09	-0.979	CLDN3	0.979	Down
GSE66229	206143_at	0.00503	-0.973	SLC26A3	0.973	Down
GSE66229	203953_s_at	4.14e-12	-0.933	CLDN3	0.933	Down
GSE66229	211478_s_at	1.93e-07	-0.907	DPP4	0.907	Down
GSE66229	205185_at	0.01	0.895	SPINK5	0.895	Up
GSE66229	209374_s_at	0.0148	0.888	IGHM	0.888	Up
GSE66229	219140_s_at	0.00206	-0.866	RBP4	0.866	Down
GSE66229	206312_at	0.0114	-0.861	GUCY2C	0.861	Down
GSE66229	211643_x_at	0.00862	0.844	IGK///IGKC	0.844	Up
GSE66229	216853_x_at	0.0146	0.842	IGLJ3	0.842	Up
GSE66229	234764_x_at	0.0254	0.838	IGLJ3///IGLV1-44///CKAP2///IGLV@///IGLC1	0.838	Up
GSE66229	217148_x_at	0.0109	0.832	IGLJ3///IGLV@///IGLC1	0.832	Up
GSE66229	218677_at	0.0173	-0.815	S100A14	0.815	Down
GSE66229	216401_x_at	0.0092	0.804	MLIP	0.804	Up
GSE66229	215176_x_at	0.0179	0.803	IGK///IGKC	0.803	Up
GSE62254	203924_at	2.88e-07	0.802	GSTA1	0.802	Up
GSE66229	211644_x_at	0.0106	0.802	IGK///IGKC	0.802	Up
GSE66229	214973_x_at	0.0139	0.796	IGHD	0.796	Up
GSE66229	216207_x_at	0.00538	0.794	IGKC	0.794	Up
GSE66229	226622_at	0.000407	-0.792	MUC20	0.792	Down
GSE66229	223565_at	0.0455	0.784	MZB1	0.784	Up
GSE66229	1554679_a_at	0.00707	-0.783	LAPTM4B	0.783	Down
GSE66229	203962_s_at	0.0097	-0.783	NEBL	0.783	Down
GSE66229	216576_x_at	0.0469	0.782	IGK///IGKC	0.782	Up
GSE66229	228302_x_at	3.51e-06	-0.774	CAMK2N1	0.774	Down
GSE66229	226582_at	0.0468	0.767	LOC400043	0.767	Up
GSE62254	213953_at	0.00171	0.752	KRT20	0.752	Up
GSE66229	204751_x_at	6.79e-05	-0.747	DSC2	0.747	Down
GSE66229	203717_at	0.01	-0.744	DPP4	0.744	Down
GSE66229	211798_x_at	0.0154	0.728	IGLJ3	0.728	Up
GSE66229	217235_x_at	0.0167	0.726	IGLL5	0.726	Up
GSE66229	218692_at	0.00635	-0.712	SYBU	0.712	Down
GSE66229	221286_s_at	0.00635	0.709	MZB1	0.709	Up
GSE66229	225165_at	0.0285	-0.708	PPP1R1B	0.708	Down
GSE66229	226817_at	0.0403	-0.708	DSC2	0.708	Down
GSE66229	217378_x_at	0.0237	0.706	IGKV1OR2-108	0.706	Up
GSE66229	202219_at	0.000761	-0.692	SLC6A8	0.692	Down
GSE66229	217157_x_at	0.0185	0.691	IGK///IGKC	0.691	Up
GSE66229	214088_s_at	0.0115	-0.69	FUT3	0.69	Down
GSE66229	217227_x_at	0.045	0.679	IGLV1-44	0.679	Up
GSE66229	231941_s_at	0.000444	-0.678	MUC20	0.678	Down
GSE66229	228293_at	0.00777	-0.677	DEPDC7	0.677	Down
GSE66229	205774_at	0.000202	-0.672	F12	0.672	Down
GSE66229	222838_at	0.0288	0.672	SLAMF7	0.672	Up
GSE66229	211637_x_at	0.014	0.671	IGHV3-23///IGHV4-31///IGHM///IGHG4///IGHG3///IGHG1///IGHD///IGHA2///IGHA1///IGH	0.671	Up
GSE66229	229139_at	0.0469	-0.671	JPH1	0.671	Down
GSE66229	213695_at	0.01	-0.667	PON3	0.667	Down
GSE66229	204533_at	0.0409	0.664	CXCL10	0.664	Up
