dataset	ID	adj.P.Val	logFC	symbol	abs_logFC	direction
GSE51575	31608	0.00223	6.2864683	LOC284215	6.2864683	Up
GSE51575	48428	0.03859	-3.5971693	DLX4	3.5971693	Down
GSE51575	29019	0.03859	2.7849962	TSHZ2	2.7849962	Up
GSE62254	224754_at	2.97e-15	0.296	SP1	0.296	Up
GSE62254	202520_s_at	2.97e-15	0.413	MLH1	0.413	Up
GSE62254	222244_s_at	4.01e-15	0.368	TUG1	0.368	Up
GSE62254	244190_at	7.84e-15	-0.191	THAP5	0.191	Down
GSE62254	238068_at	1.21e-14	0.254		0.254	Up
GSE62254	218607_s_at	1.08e-14	-0.273	SDAD1	0.273	Down
GSE62254	202909_at	1.33e-13	0.402	EPM2AIP1	0.402	Up
GSE62254	204048_s_at	2.23e-12	0.269	PHACTR2	0.269	Up
GSE62254	239098_at	5.69e-12	-0.281	KCNRG	0.281	Down
GSE62254	231768_at	4.54e-12	-0.193	USF1	0.193	Down
GSE62254	227847_at	5.69e-12	0.375	EPM2AIP1	0.375	Up
GSE62254	235405_at	5.98e-12	0.342	GSTA4	0.342	Up
GSE62254	1554047_at	5.69e-12	-0.317	TXNDC9	0.317	Down
GSE62254	219487_at	5.69e-12	0.319	BBS10	0.319	Up
GSE62254	225541_at	6.99e-12	-0.413	RPL22L1	0.413	Down
GSE62254	240288_at	1.44e-11	-0.261	KCNRG///TRIM13	0.261	Down
GSE62254	216020_at	1.96e-11	-0.229	IFIH1	0.229	Down
GSE62254	235079_at	6.89e-11	0.549	ZNF704	0.549	Up
GSE62254	201737_s_at	6.89e-11	0.312	MARCH6	0.312	Up
GSE62254	210758_at	7e-11	-0.334	PSIP1	0.334	Down
GSE62254	205966_at	1.19e-10	-0.253	TAF13	0.253	Down
GSE62254	1559121_s_at	1.37e-10	0.222		0.222	Up
GSE62254	242277_at	1.37e-10	0.31		0.31	Up
GSE62254	211758_x_at	1.37e-10	0.219	TXNDC9	0.219	Up
GSE62254	201986_at	1.55e-10	0.193	MED13	0.193	Up
GSE62254	36564_at	2.17e-10	-0.245	RNF19B	0.245	Down
GSE62254	229528_at	2.84e-10	0.215	SBNO1	0.215	Up
GSE62254	201369_s_at	3.68e-10	0.28	ZFP36L2	0.28	Up
GSE62254	231152_at	4.7e-10	0.226	INO80D	0.226	Up
GSE62254	230085_at	5.99e-10	0.332	PDK3	0.332	Up
GSE62254	227783_at	5.99e-10	-0.196	CCDC57	0.196	Down
GSE62254	212229_s_at	6.11e-10	0.229	FBXO21	0.229	Up
GSE62254	218101_s_at	7.1e-10	0.17	NDUFC2-KCTD14///NDUFC2	0.17	Up
GSE62254	203590_at	6.83e-10	0.187	DYNC1LI2	0.187	Up
GSE62254	227719_at	7.76e-10	0.434	SMAD9	0.434	Up
GSE62254	242671_at	8.65e-10	0.379		0.379	Up
GSE62254	229871_at	9.98e-10	0.296	SAMD4B	0.296	Up
GSE62254	214857_at	9.51e-10	-0.256	RPARP-AS1	0.256	Down
GSE62254	228545_at	9.96e-10	0.234	ZNF148	0.234	Up
GSE62254	226880_at	1.39e-09	0.218	NUCKS1	0.218	Up
GSE62254	226085_at	1.56e-09	0.306	CBX5	0.306	Up
GSE62254	243259_at	1.94e-09	-0.204	ATXN7	0.204	Down
GSE62254	1555464_at	2.29e-09	-0.273	IFIH1	0.273	Down
GSE62254	242594_at	2.29e-09	-0.393	BOD1L1	0.393	Down
GSE62254	204049_s_at	2.96e-09	0.202	PHACTR2	0.202	Up
GSE62254	224943_at	3.82e-09	0.219	BTBD7	0.219	Up
GSE62254	203008_x_at	3.53e-09	0.212	TXNDC9	0.212	Up
GSE62254	212608_s_at	4.19e-09	0.275	NUDT3	0.275	Up
GSE62254	209071_s_at	4.51e-09	0.405	RGS5	0.405	Up
GSE62254	215505_s_at	4.83e-09	-0.208	STRN3	0.208	Down
GSE62254	221473_x_at	6.63e-09	0.211	SERINC3	0.211	Up
GSE62254	213038_at	7e-09	-0.229	RNF19B	0.229	Down
GSE62254	229943_at	7.04e-09	0.296	TRIM13	0.296	Up
GSE62254	218242_s_at	7.44e-09	0.189	KMT5B	0.189	Up
GSE62254	205841_at	8.44e-09	-0.38	JAK2	0.38	Down
GSE62254	217550_at	1.09e-08	0.182	ATF6	0.182	Up
GSE62254	228774_at	1.09e-08	-0.186	CEP78	0.186	Down
